ville,temperature,precipitation,date
Marrakech,18,0.0,2021-03-13
Marrakech,21,0.0,2021-03-14
Marrakech,24,0.0,2021-03-15
Marrakech,23,0.0,2021-03-16
Marrakech,22,0.0,2021-03-17
Marrakech,18,0.0,2021-03-18
Marrakech,16,1.5000000000000002,2021-03-19
Marrakech,13,1.9000000000000001,2021-03-20
Marrakech,13,0.30000000000000004,2021-03-21
Marrakech,17,0.0,2021-03-22
Marrakech,20,0.0,2021-03-23
Marrakech,22,0.0,2021-03-24
Marrakech,22,0.0,2021-03-25
Marrakech,24,0.0,2021-03-26
Marrakech,25,0.8999999999999999,2021-03-27
Marrakech,19,2.1999999999999997,2021-03-28
Marrakech,25,0.1,2021-03-29
Marrakech,26,0.1,2021-03-30
Marrakech,27,0.0,2021-03-31
Marrakech,21,0.0,2021-04-01
Marrakech,22,0.0,2021-04-02
Marrakech,21,0.0,2021-04-03
Marrakech,20,0.0,2021-04-04
Marrakech,22,0.0,2021-04-05
Marrakech,21,0.0,2021-04-06
Marrakech,21,0.0,2021-04-07
Marrakech,21,0.0,2021-04-08
Marrakech,21,0.0,2021-04-09
Marrakech,20,0.0,2021-04-10
Marrakech,20,0.0,2021-04-11
Marrakech,22,0.0,2021-04-12
Marrakech,24,0.0,2021-04-13
Marrakech,22,3.7000000000000006,2021-04-14
Marrakech,18,2.3000000000000007,2021-04-15
Marrakech,21,0.6,2021-04-16
Marrakech,21,0.0,2021-04-17
Marrakech,24,0.0,2021-04-18
Marrakech,24,0.0,2021-04-19
Marrakech,23,0.0,2021-04-20
Marrakech,22,0.0,2021-04-21
Marrakech,22,0.0,2021-04-22
Marrakech,24,0.0,2021-04-23
Marrakech,22,0.0,2021-04-24
Marrakech,20,0.0,2021-04-25
Marrakech,21,0.0,2021-04-26
Marrakech,21,0.0,2021-04-27
Marrakech,20,0.0,2021-04-28
Marrakech,20,0.0,2021-04-29
Marrakech,14,15.200000000000001,2021-04-30
Marrakech,18,0.1,2021-05-01
Marrakech,19,0.0,2021-05-02
Marrakech,20,0.0,2021-05-03
Marrakech,20,2.5,2021-05-04
Marrakech,19,18.099999999999998,2021-05-05
Marrakech,25,0.0,2021-05-06
Marrakech,28,0.0,2021-05-07
Marrakech,29,2.8,2021-05-08
Marrakech,22,1.9,2021-05-09
Marrakech,22,0.0,2021-05-10
Marrakech,21,0.0,2021-05-11
Marrakech,23,0.0,2021-05-12
Marrakech,24,0.0,2021-05-13
Marrakech,24,0.2,2021-05-14
Marrakech,29,0.0,2021-05-15
Marrakech,32,0.4,2021-05-16
Marrakech,28,0.7,2021-05-17
Marrakech,29,0.0,2021-05-18
Marrakech,29,0.0,2021-05-19
Marrakech,34,0.0,2021-05-20
Marrakech,35,0.5,2021-05-21
Marrakech,31,0.1,2021-05-22
Marrakech,20,0.8999999999999999,2021-05-23
Marrakech,22,0.0,2021-05-24
Marrakech,25,0.0,2021-05-25
Marrakech,24,2.9,2021-05-26
Marrakech,26,0.4,2021-05-27
Marrakech,28,0.0,2021-05-28
Marrakech,27,0.0,2021-05-29
Marrakech,31,0.0,2021-05-30
Marrakech,28,1.0999999999999999,2021-05-31
Marrakech,27,0.0,2021-06-01
Marrakech,27,0.0,2021-06-02
Marrakech,25,0.0,2021-06-03
Marrakech,23,0.0,2021-06-04
Marrakech,26,0.0,2021-06-05
Marrakech,29,0.0,2021-06-06
Marrakech,31,0.0,2021-06-07
Marrakech,34,0.0,2021-06-08
Marrakech,34,0.1,2021-06-09
